FINANCIAL TYPE,SYMBOL,SECURITY NAME,ISIN,PRICE,QUANTITY,REALISED P/L,MARKET VALUE,SEDOL
Equities,MDLZ,Mondelez International,,72.94,332471.558091736,1890.588022643976,24250475.44721122,
Equities,LEN,Lennar,,124.93,116585.37556578318,316522.85024335625,14565010.969433293,
Equities,ATVI,Activision Blizzard,,83.4,296870.4684757444,-281309.52492732235,24758997.070877086,
Equities,AZO,AutoZone,,2493.36,102224.04799906716,1711644.9631204018,254881352.31895417,
Equities,VRSK,Verisk,,226.03,214710.72556109697,123574.16843731517,48531065.298574746,
Equities,CSGP,CoStar Group,,89.0,336145.6613743438,-224006.26967954065,29916963.862316597,
Equities,JKHY,Jack Henry & Associates,,167.33,81877.80718800334,-34990.27719296319,13700613.4767686,
Equities,CI,Cigna,,280.6,52196.401470863464,41036.68721470404,14646310.25272429,
Equities,CMA,Comerica,,42.36,84126.40768135365,24674.449474895777,3563594.6293821405,
Equities,TTWO,Take-Two Interactive,,147.16,341466.44324547425,-84703.30084472257,50250201.78800399,
Equities,NEM,Newmont,,42.66,81831.05949039783,10160.69663111644,3490912.997860371,
Equities,EXC,Exelon,,40.38,23936.753895369216,4787.83395941085,966566.122295009,
Equities,WEC,WEC Energy Group,,87.45,49559.80716689585,-2955.1309411401235,4334005.136745042,
Equities,LNT,Alliant Energy,,52.04,293183.8025043745,3614.339914674074,15257285.082327647,
Equities,BSX,Boston Scientific,,54.09,3538.3296079085335,2227.419075326743,191388.2484917726,
Equities,HPQ,HP Inc.,,30.71,160371.41929560364,30901.31527300044,4925006.286567988,
Equities,UDR,"UDR, Inc.",,42.54,45007.04044143931,3994.542442357215,1914599.5003788285,
Equities,OXY,Occidental Petroleum,,58.8,149380.27457951746,-7201.5734124422415,8783560.145275626,
Equities,ILMN,Illumina,,187.49,331177.1179688919,335009.8493561364,62092397.84798755,
Equities,MHK,Mohawk Industries,,103.16,1240.8071054361758,-2155.902345695362,128001.6609967959,
Equities,TROW,T. Rowe Price,,112.02,3562.971805095934,1037.961960206076,399124.1016068465,
Equities,AMD,AMD,,113.91,255081.5298738616,53154.72927177604,29056337.067931578,
Equities,ULTA,Ulta Beauty,,470.6,351804.56973609433,2293533.7038362664,165559230.517806,
Equities,XOM,ExxonMobil,,106.38,346862.601249178,455018.9441538928,36899243.52088755,
Equities,ABC,AmerisourceBergen,,191.93,167753.5692794939,-567076.2072709163,32196942.551813267,
Equities,NI,NiSource,,27.11,333660.1817207754,-4589.7300212376485,9045527.52645022,
Equities,T,AT&T,,15.67,347053.94066263316,-20797.531245829447,5438335.250183461,
Equities,CEG,Constellation Energy,,91.31,142277.16124024917,2653.4754169926687,12991327.592847152,
Government Bond,DE0001030567,DEUTSCHLAND I/L BOND 0.1 % 4/15/2026 REGS,DE0001030567,121.24,5700.426351372095,284.93552806798243,691119.6908403528,
Government Bond,IT0004735152,BUONI POLIENNALI DEL TES 3.1% 09/15/2026 144A,IT0004735152,140.32,5225.50724538674,433.3890194109131,733243.1766726673,
Government Bond,FR0000188799,FRANCE (GOVT OF) 3.15 % 07/25/2032 REGS ,FR0000188799,209.2,3465.2423893352334,-173.5562239131841,724928.7078489307,
Government Bond,DK0009923807,KINGDOM OF DENMARK 0.5 % 11/15/2029 144A ,DK0009923807,104.65,97405.44446462876,1319.944720648985,10193479.763223402,
Government Bond,US912810FS25,TSY INFL IX N/B 2% 01/15/2026,US912810FS25,161.05,6224.047133843874,638.3266944244456,1002382.790905556,
Government Bond,US912810FQ68,TSY INFL IX N/B 3.375% 04/15/2032,US912810FQ68,231.72,1491.119653587296,-158.83996309875127,345522.24612924823,
Government Bond,GB00B3MYD345,UNITED KINGDOM I/L GILT 0.625% 11/22/2042 REGS,GB00B3MYD345,272.39,4302.205112771079,577.0949202900779,1171877.6506677142,
Government Bond,MX0MG00000H9,MEX BONOS DESARR FIX RT 8.5 % 05/31/2029 ,MX0MG00000H9,105.85,3639490.2955445056,-19417.253286762618,385240047.7833859,
Government Bond,IT0003745541,BUONI POLIENNALI DEL TES 2.4% 09/15/2035 144A,IT0003745541,179.22,5106.493854668024,14.513139644590217,915185.8286336032,
Government Bond,JP1103571L10,JAPAN (10 YEAR ISSUE) 0.1 % 12/20/2029 ,JP1103571L10,101.0,6216133.521667282,3104.110541515868,627829485.6883955,
Government Bond,GB00BL68HJ26,UNITED KINGDOM GILT 0.125% 01/30/2026 REGS,GB00BL68HJ26,97.13,22676.2108072589,1734.755670532766,2202540.355709057,
Government Bond,CA135087YK42,CANADIAN GOVERNMENT RRB 2.0% 12/01/2041,CA135087YK42,186.61,2444.852239923531,126.76434126644016,456233.8764921302,
Government Bond,ES00000128E2,BONOS Y OBLIG DEL ESTADO 3.5% 07/30/2066 144A,ES00000128E2,150.43,2365.919390613162,66.73591241795602,355905.25392993796,
Government Bond,CND100045210,CHINA GOVERNMENT BOND 3.0% 03/11/2026,CND100045210,101.84,34736.37728379992,2.727898481104486,3537552.662582184,
Government Bond,CA135087VS05,CANADIAN GOVERNMENT RRB 4.3% 12/01/2026,CA135087VS05,206.62,1686.6810414888887,-4.944164274287874,348502.03679243417,
Government Bond,DE0001030559,DEUTSCHLAND I/L BOND 0.5 % 4/15/2030 REGS,DE0001030559,135.89,6622.106150542305,449.5185289873162,899878.0047971937,
Government Bond,BE0000304130,BELGIUM KINGDOM 5% 3/28/2035 144A,BE0000304130,160.29,4437.017973017007,267.85159372822216,711209.610894896,
Government Bond,US912810SM18,TSY INFL IX N/B 0.25% 02/15/2050 ,US912810SM18,130.2,4343.884766165245,-120.1766390639567,565573.7965547149,
Government Bond,CA135087WV25,CANADIAN GOVERNMENT RRB 4.0% 12/01/2031,CA135087WV25,230.09,1688.3301259660986,105.02955010428666,388467.8786835396,
Government Bond,ES0000012B39,BONOS Y OBLIG DEL ESTADO 1.4% 04/30/2028 144A,ES0000012B39,108.14,30285.315840206604,1704.3844986089834,3275054.054959942,
CASH,USDCURR,CASH,,,,,163238116.6350903,
Equities,ATO,Atmos Energy,,103.88,1215.6454145085906,-78.4634191636829,126281.2456591524,
Equities,MKTX,MarketAxess,,241.61,9740.512971049928,-29144.371205721614,2353405.338935374,
Equities,CHD,Church & Dwight,,73.21,7334.004105847808,-946.0763293704885,536922.440589118,
Equities,WYNN,Wynn Resorts,,63.59,1865.6476740011567,-25.6690734454706,118636.53558973355,
Equities,GOOG,Alphabet Inc. (Class C),,94.66,1803.0839637367503,147.9254488219321,170679.9280073208,
Equities,NVR,"NVR, Inc.",,4237.75,1902.8485162530087,100959.91026191242,8063796.299751188,
Equities,NEM,Newmont,,41.02,5314.551379240495,290.59781708732834,218002.89757644513,
Equities,IT,Gartner,,301.92,5328.591538318874,-20671.056435249284,1608808.3572492346,
Equities,MA,Mastercard,,326.66,1721.4948205183089,-2878.10166147735,562343.4980705108,
Equities,APH,Amphenol,,75.22,735.8251112690037,-56.39841320113191,55348.764869654464,
Equities,MOS,Mosaic Company (The),,52.79,8658.268759453644,760.5552203590992,457070.00781155785,
Equities,RTX,RTX Corporation,,92.53,8727.819729811055,20254.040737008956,807585.159599417,
Equities,LMT,Lockheed Martin,,477.42,9405.291865761315,163181.81387095965,4490274.442551768,
Equities,COF,Capital One,,103.6,8286.542584172328,-21749.427295806603,858485.8117202532,
Equities,ODFL,Old Dominion,,273.65,2959.953032070801,9123.543484143607,809991.1472261746,
Equities,PXD,Pioneer Natural Resources,,239.83,387.76832057704297,2394.4674103964744,92998.47632399222,
Equities,FITB,Fifth Third Bank,,34.46,8891.496871829966,6081.653422724768,306400.98220326065,
Equities,DHI,D.R. Horton,,76.13,3970.58849403381,171.30126346514814,302280.9020507939,
Equities,ORCL,Oracle Corporation,,77.18,7686.439010660984,23073.98912949768,593239.3628428148,
Equities,NSC,Norfolk Southern Railway,,222.77,943.6641000758202,-3438.616778026798,210220.0515738905,
Equities,HUM,Humana,,555.11,1480.1242035432374,11779.703312593572,821631.7466288866,
Equities,UDR,"UDR, Inc.",,38.57,3506.528088852749,-1117.518552357019,135246.78838705053,
Equities,QCOM,Qualcomm,,115.4,2638.437327509473,1275.1029282887212,304475.6675945932,
Equities,META,Meta Platforms,,93.16,3445.332949494299,40709.02575356997,320967.2175748889,
Equities,USB,U.S. Bank,,40.81,7799.475747214868,387.53202056451016,318296.60524383874,
Equities,MO,Altria,,43.48,195.73517705341288,33.81847012792113,8510.56549828239,
Equities,ANET,Arista Networks,,120.86,6615.62909411591,3941.220833100416,799564.9323148489,
Equities,DD,DuPont,,56.09,9971.220549959162,-4294.382688646638,559285.7606472095,
Equities,KMB,Kimberly-Clark,,121.16,8330.00865870109,-8071.909970004979,1009263.849088224,
Equities,ACN,Accenture,,280.62,2890.4217533811025,4632.732635837347,811110.1524338049,
Equities,IDXX,Idexx Laboratories,,359.68,2290.4691493222144,-7355.369565314903,823835.9436282141,
Equities,BR,Broadridge Financial Solutions,,147.84,4532.706840529457,2114.8555747254773,670115.3793038749,
Equities,TJX,TJX Companies,,70.96,1705.2459127116113,117.31245400299612,121004.24996601592,
Equities,FE,FirstEnergy,,36.2,695.5490869095223,-71.00224626775673,25178.87694612471,
Equities,BA,Boeing,,142.51,5707.21964313311,15754.384391566817,813335.8713428995,
Equities,SPGI,S&P Global,,318.11,8555.241953986497,-9542.089881353822,2721508.0179826445,
Equities,EA,Electronic Arts,,125.37,732.64162498896,-1436.1133262077808,91851.28052486591,
Equities,TEL,TE Connectivity,,120.04,8711.93839980164,9532.427836396697,1045781.085512189,
Equities,SBAC,SBA Communications,,266.28,2800.253606929636,5134.565433925598,745651.5304532234,
Equities,DFS,Discover Financial,,101.79,9646.363825776098,-17518.56451198907,981903.373825749,
Equities,ALGN,Align Technology,,194.3,2948.1380314438343,-5826.981084210501,572823.219509537,
Equities,PSA,Public Storage,,301.33,1784.2226280136456,151.44205248076452,537639.8044993518,
Equities,REGN,Regeneron,,748.75,3265.3707982778865,-32199.2853361648,2444946.3852105676,
Equities,ETSY,Etsy,,93.91,223.83190493326313,-12.860628182452992,21020.05419228274,
Equities,WMT,Walmart,,140.18,4834.79671489328,12401.32003307974,677741.80349374,
Equities,DAL,Delta Air Lines,,33.86,5332.451105190349,3714.794715043379,180556.79442174523,
Equities,MNST,Monster Beverage,,46.86,6783.333182181846,-4391.929795281318,317866.9929170413,
Equities,PWR,Quanta Services,,141.83,607.4813850139608,670.5273770400721,86159.08483653006,
Equities,ETR,Entergy,,103.94,9093.9403436838,1483.045134253764,945224.1593224942,
Equities,KR,Kroger,,46.24,3713.356238717037,407.77702413880536,171705.59247827576,
Equities,IEX,IDEX Corporation,,220.41,5810.341624994199,-24077.12879404904,1280657.3975649714,
Equities,ZTS,Zoetis,,149.77,2473.07654790122,-79.74206478709287,370392.67457916576,
Equities,BG,Bunge Limited,,96.21,8861.25047022493,-10099.167160915356,852540.9077403405,
Equities,SRE,Sempra Energy,,71.97,5164.468051831834,41.5888022069253,371686.76569033705,
Equities,ACGL,Arch Capital Group,,57.5,7935.925876677858,2176.919116630018,456315.7379089768,
Equities,TGT,Target Corporation,,159.75,2641.220416546047,-5140.760760782133,421934.96154323104,
Equities,ADSK,Autodesk,,214.3,6514.397512355136,52289.254441411904,1396035.3868977055,
Equities,EPAM,EPAM Systems,,350.0,2172.942712530083,-585.1009841735622,760529.949385529,
Government Bond,NL0012818504,NETHERLANDS GOVERNMENT 0.75 % 07/15/2028 144A ,,106.85,3801.874316244905,0.2048825077339897,406230.270690768,BFM0LR6
Government Bond,ES0000012852,SPAIN I/L BOND 0.65 % 11/30/2027 144A ,,124.62,3065.2521007903483,157.71681910329914,381991.7168004933,BF0YM66
Government Bond,US912828WU04,TSY INFL IX N/B 0.125% 07/15/2024 ,,124.36,12037.906209628492,-450.5359954486214,1497034.0162293992,BZ56VY8
Government Bond,CA135087G997,CANADIAN GOVERNMENT RRB 0.5% 12/01/2050,,131.53,2235.043074692164,-28.48650490849076,293975.2156142603,BG7PCR0
Government Bond,GB00B6460505,UNITED KINGDOM GILT 4.25% 12/07/2040 REGS,,152.57,11781.789966177765,-239.71052905491163,1797547.6951397415,B646050
Government Bond,GB00BYY5F144,UNITED KINGDOM I/L GILT 0.125% 03/22/2026 REGS,,139.46,4715.51599387495,-4.4522326164441415,657625.8605058006,BYY5F14
Government Bond,ES00000128C6,BONOS Y OBLIG DEL ESTADO 2.9% 10/31/2046 144A,,134.76,16937.69713352957,20.339474192180425,2282524.065714445,BYZ0LZ4
Government Bond,ES00000121S7,BONOS Y OBLIG DEL ESTADO 4.7% 07/30/2041 144A,,163.93,2647.684113621394,1.7518976328314904,434034.8567459551,B4KCFS6
Government Bond,GB00BD9MZZ71,UNITED KINGDOM I/L GILT 0.125% 11/22/2065 REGS,,326.34,3486.5427395829433,482.35141605655656,1137798.3576354976,BD9MZZ7
Government Bond,AT0000A1K9C8,REPUBLIC OF AUSTRIA 0.75 % 10/20/2026 144A ,,105.26,17333.296574857373,31.900181726297276,1824502.7974694872,BYN4DC9
Government Bond,DE0001030575,DEUTSCHLAND I/L BOND 0.1 % 4/15/2046 REGS,,181.11,4508.1928459721385,111.9626022113802,816478.806334014,BZ0D4B2
Government Bond,DK0009923807,KINGDOM OF DENMARK 0.5 % 11/15/2029 144A ,,104.56,81213.89363283728,431.9626859890136,8491724.718249466,BJK1TG4
Government Bond,GB00BNNGP551,UNITED KINGDOM I/L GILT 0.125% 08/10/2031 REGS,,142.8,2419.7121554494915,41.685918001310654,345534.8957981874,BNNGP55
Government Bond,GB00BZ13DV40,UNITED KINGDOM I/L GILT 0.125% 08/10/2048 REGS,,217.66,3520.362365363173,-323.1900576439359,766242.0724449483,BZ13DV4
Government Bond,US9128287D64,TSY INFL IX N/B 0.25% 07/15/2029 ,,121.2,11795.908253526604,3.814976796091728,1429664.0803274245,BK53BD3
Government Bond,US912810FS25,TSY INFL IX N/B 2% 01/15/2026,,161.49,6270.045234186187,25.61004391427892,1012549.6048687276,BZ56W67
Government Bond,GB00B128DH60,UNITED KINGDOM I/L GILT 1.25% 11/22/2027 REGS,,207.04,5127.134885489888,-0.6441124228003091,1061522.0066918265,B128DH6
Government Bond,US912810SB52,TSY INFL IX N/B 1% 02/15/2048,,157.01,6529.537509959663,-36.25719149763973,1025202.6844387668,BFZBGW6
Government Bond,ES0000012932,BONOS Y OBLIG DEL ESTADO 4.2% 01/31/2037 144A,,147.12,10233.376575870412,-52.20694307341888,1505534.361842055,B05L4R2
Government Bond,IT0003745541,BUONI POLIENNALI DEL TES 2.4% 09/15/2035 144A,,179.28,5179.955066011866,158.1349918800765,928662.3442346072,B03KSM4
Government Bond,GB0031790826,UNITED KINGDOM I/L GILT 2% 01/26/2035 REGS,,308.13,2526.2070226465794,-88.73415348366295,778400.1698880905,3179082
Government Bond,GB00BDX8CX86,UNITED KINGDOM I/L GILT 0.125% 03/22/2068 REGS,,366.64,3667.748419624222,208.05704163184373,1344743.2805710249,BDX8CX8
Government Bond,SE0013748258,SWEDEN I/L BOND 0.125 % 06/01/2030 144A ,,124.27,2902.6216448879677,-37.99048866061392,360708.79181022773,BLP563
CASH,USDCURR,CASH,,,,,4888140.883184109,
Equities,HSIC,Henry Schein,,78.31,8389.897819130214,7032.822961075173,657012.898216087,
Equities,JNPR,Juniper Networks,,30.56,9495.699809346808,1766.0580382122675,290188.58617363847,
Equities,CRL,Charles River Laboratories,,219.34,9258.331719273712,-43091.40655881099,2030722.479305496,
Equities,ACN,Accenture,,263.55,3805.805708953719,1806.808159430415,1003020.0945947528,
Equities,LEN,Lennar,,96.13,3518.9909310925286,2899.9577814187905,338280.59820592473,
Equities,CTSH,Cognizant,,62.08,776.8337527573354,-174.71762735715717,48225.83937117538,
Equities,COF,Capital One,,107.76,8856.664423291699,3403.8022381318997,954394.1582539136,
Equities,PG,Procter & Gamble,,135.85,7652.772012269954,-2420.350231269586,1039629.0778668732,
Equities,APTV,Aptiv,,116.28,5396.882244216029,4296.074232863756,627549.4673574398,
Equities,ROL,"Rollins, Inc.",,34.98,7373.643610577965,1415.0688494514409,257930.0534980172,
Equities,SWKS,Skyworks Solutions,,110.88,816.2818211766477,239.5495615931638,90509.3283320667,
Equities,PNW,Pinnacle West,,72.13,7342.51828497212,-685.2869135717559,529615.8438950389,
Equities,RSG,Republic Services,,128.04,6313.403473033168,-3828.091202200576,808368.1806871668,
Equities,ADP,ADP,,217.32,3711.8799913178377,4944.815376360803,806665.7597131925,
Equities,SPGI,S&P Global,,339.55,1285.0608099095225,2889.171200210375,436342.3980047784,
Equities,CTAS,Cintas,,436.2,6404.393907875349,1543.1254756763724,2793596.6226152275,
Equities,WHR,Whirlpool Corporation,,132.66,2295.6177045262125,-6597.842704206607,304536.64468244737,
Equities,LYB,LyondellBasell,,92.28,7991.23244119261,-1033.86057449441,737430.929673254,
Equities,WST,West Pharmaceutical Services,,316.71,6719.392065023614,15215.008042107922,2128098.6609136285,
Equities,TROW,T. Rowe Price,,109.78,9111.174431609506,-5015.830228921898,1000224.7291020916,
Equities,KMB,Kimberly-Clark,,122.78,1062.965519298766,615.2779201200822,130510.90645950253,
Equities,ARE,Alexandria Real Estate Equities,,146.67,2198.1303327399723,-104.66565416880998,322399.77590297174,
Equities,APD,Air Products and Chemicals,,282.5,6242.083764200078,42298.06109069259,1763388.663386522,
Equities,ALK,Alaska Air Group,,47.83,6957.589763968031,1068.2913417116135,332781.5184105909,
Equities,CARR,Carrier Global,,44.66,4645.169980975721,12.660531046449575,207453.2913503757,
Equities,HSY,Hershey's,,236.11,8147.385487702436,-17707.800119832275,1923679.1875014224,
Equities,ICE,Intercontinental Exchange,,100.97,7065.0291104475555,3655.9663524484886,713355.9892818896,
Equities,CLX,Clorox,,153.2,2233.486996765796,-3309.8795190822966,342170.2079045199,
Equities,AAL,American Airlines Group,,15.98,7839.553951767848,293.5922492107386,125276.07214925022,
Equities,FOX,Fox Corporation (Class B),,32.25,9373.030976317905,33.75658506818687,302280.2489862524,
Equities,TPR,"Tapestry, Inc.",,42.91,5062.253342209099,956.0852425726904,217221.2909141924,
Equities,PKG,Packaging Corporation of America,,134.13,9819.660407715342,5472.466775682595,1317111.050486859,
Equities,WM,Waste Management,,148.42,9108.529012156388,9502.517928199351,1351887.875984251,
Equities,LIN,Linde plc,,345.82,7018.591004228942,8302.96880281868,2427169.1410824526,
Equities,ETR,Entergy,,101.84,684.977059655947,-210.6251983182106,69758.06375536164,
Equities,GPN,Global Payments,,111.64,8966.022864991623,500.4373963443992,1000966.7926476648,
Equities,JNJ,Johnson & Johnson,,151.02,5576.650823576873,7503.835563411775,842185.8073765795,
Equities,EQR,Equity Residential,,61.14,2276.026940817973,-636.2333737628238,139156.28716161088,
Equities,EIX,Edison International,,64.81,8874.685926845757,-2977.572189210021,575168.3949188736,
Equities,LLY,Eli Lilly and Company,,309.75,2229.3789335596293,5691.055053048632,690550.1246700952,
Equities,AOS,A. O. Smith,,64.8,6887.093000481188,168.8324020146,446283.626431181,
Equities,AON,Aon,,302.9,6744.070430123433,18325.953017844127,2042778.9332843877,
Equities,ECL,Ecolab,,158.36,630.8825631309509,159.87928972943206,99906.5626974174,
Equities,RF,Regions Financial Corporation,,22.84,4893.859400144159,145.0766019608378,111775.74869929258,
Equities,FE,FirstEnergy,,38.73,3250.6341176775363,336.85368643995076,125897.05937765098,
Equities,FICO,Fair Isaac,,677.39,4371.978780121843,7672.622653455801,2961534.705866735,
Equities,HCA,HCA Healthcare,,242.35,2594.936587182815,6732.452574162416,628882.8819037552,
Equities,CBOE,Cboe Global Markets,,125.69,7867.490780627301,4063.0844119384446,988864.9162170456,
Equities,PH,Parker Hannifin,,348.96,3215.184164300722,-18321.07398478716,1121970.6659743795,
Equities,CVX,Chevron Corporation,,157.7,7941.1160691349005,5934.2688870781985,1252314.0041025735,
Equities,TJX,TJX Companies,,75.98,2469.6423252760032,2124.0286021898164,187643.42387447073,
Equities,A,Agilent Technologies,,141.47,1060.8365230386355,1638.120189321719,150076.5429142758,
Equities,INVH,Invitation Homes,,30.79,598.5777935875681,-19.4878122458953,18430.21026456122,
Equities,LYV,Live Nation Entertainment,,72.06,1326.4413005993756,-1578.4758093533792,95583.360121191,
Equities,AAP,Advance Auto Parts,,142.66,1569.2401636052002,1729.3443473057644,223867.80173991784,
Equities,DHR,Danaher Corporation,,246.98,5563.7768931400315,-705.6872955760604,1374141.617067725,
Equities,NTRS,Northern Trust,,93.57,5063.772625925248,882.7038390826954,473817.2046078254,
Equities,PCG,PG&E Corporation,,15.62,7689.10821448119,5.364137682019667,120103.87031019616,
Equities,COO,CooperCompanies,,326.94,1814.747749552317,-96.94429449297306,593313.6292386345,
Equities,KIM,Kimco Realty,,20.12,8868.019070012391,-783.0591510547665,178424.5436886493,
Equities,PEG,Public Service Enterprise Group,,59.3,1204.029013285697,-223.79998691200183,71398.92048784182,
Equities,PTC,PTC,,125.33,6900.776549214136,1647.075967016874,864874.3249130077,
Equities,WFC,Wells Fargo,,46.05,7625.504867680119,33.71743685839728,351154.4991566695,
Equities,CMCSA,Comcast,,36.63,8640.093194964658,534.6321081859688,316486.61373155547,
Equities,GRMN,Garmin,,96.71,2469.5856853129008,161.79871812608698,238833.63162661064,
Equities,MKTX,MarketAxess,,339.72,642.7836189074528,2754.3854131926755,218366.4510152399,
Equities,DVA,DaVita Inc.,,82.26,238.09774606835416,4.032432196612492,19585.920591582813,
Government Bond,GB00B73ZYW09,UNITED KINGDOM I/L GILT 0.25% 03/22/2052 REGS,,271.49,3395.7186923013264,-11.917191841027924,921903.6677728872,B73ZYW0
Government Bond,ES00000128C6,BONOS Y OBLIG DEL ESTADO 2.9% 10/31/2046 144A,,134.93,12645.82198281454,-146.17887332726843,1706300.7601411662,BYZ0LZ4
Government Bond,US91282CCM10,TSY INFL IX N/B 0.125% 07/15/2031 ,,116.02,12626.519069554086,-22.421520417769525,1464928.742449665,BNW0365
Government Bond,GB00B6460505,UNITED KINGDOM GILT 4.25% 12/07/2040 REGS,,152.6,11600.914743140956,82.00350016157086,1770299.5898033096,B646050
Government Bond,US912810FH69,TSY INFL IX N/B 3.875% 04/15/2029,,234.48,6533.239101526022,48.437883826257675,1531913.9045258216,2407096
Government Bond,US912810RL44,TSY INFL IX N/B 0.75% 02/15/2045,,151.28,7400.561401659443,108.54207236489778,1119556.9288430405,BVXLS02
Government Bond,GB00BN65R313,UNITED KINGDOM GILT 3.5% 01/22/2045 REGS,,146.76,9030.352679710444,-14.38390520888833,1325294.559274305,BN65R31
Government Bond,ES00000127C8,SPAIN I/L BOND 1 % 11/30/2030 144A ,,132.27,3867.19548548492,-1.4447317544792528,511513.9468650904,BWH62M0
Government Bond,IT0005274805,BUONI POLIENNALI DEL TES 2.1% 08/01/2027 REGS,,108.2,34409.509430290964,32.45181822233049,3723108.9203574825,BD1MF44
Government Bond,SE0000556599,SWEDEN I/L BOND 3.5 % 12/01/2028 144A ,,192.58,9190.3876710697,-121.71793195318328,1769884.8576946026,5681217
Government Bond,US912810FD55,TSY INFL IX N/B 3.625% 04/15/2028,,227.46,6110.367471274109,17.31970569616593,1389864.185016009,2235037
Government Bond,FR0012558310,FRANCE (GOVT OF) 0.1% 03/01/2025 0.0% REGS,,114.05,4449.402778531884,10.936436324981178,507454.3868915614,BW4Q278
Government Bond,IT0005024234,BUONI POLIENNALI DEL TES 3.5% 03/01/2030 144A,,120.53,20622.18530712426,-31.596707215044813,2485591.995067687,BMNDJV3
Government Bond,GB00BYVP4K94,UNITED KINGDOM I/L GILT 0.125% 11/22/2056 REGS,,263.16,2243.841955293424,-84.77673552891645,590489.4489550175,BYVP4K9
Government Bond,IT0003256820,BUONI POLIENNALI DEL TES 5.8% 02/01/2033 REGS,,146.96,25527.62330601429,584.3829964788209,3751539.521051861,7335318
Government Bond,US912810RA88,TSY INFL IX N/B 0.625% 02/15/2043,,149.65,6582.49011218996,-60.88979151075543,985069.6452892276,B9JHJX0
Government Bond,FR0011461037,FRANCE (GOVT OF) 3.25 % 05/25/2045 REGS ,,154.26,7282.617502430299,98.08313051452328,1123416.5759248978,B9MBCD0
Government Bond,FR0013238268,FRANCE (GOVT OF) 0.1% 03/01/2028 REGS,,119.85,4832.822854707861,20.50122817325432,579213.819136737,BDCKIW3
Government Bond,GB00B85SFQ54,UNITED KINGDOM I/L GILT 0.125% 03/22/2024 REGS,,140.79,4284.010642912652,7.142852203348137,603145.8584156722,B85SFQ5
Government Bond,GB00BYY5F144,UNITED KINGDOM I/L GILT 0.125% 03/22/2026 REGS,,140.07,4074.445339926041,-29.42929174962764,570707.5587634405,BYY5F14
CASH,USDCURR,CASH,,,,,3699621.565113877,
Equities,FANG,Diamondback Energy,,150.03,101449.02673850657,-911773.3754422494,15220397.48157814,
Equities,AOS,A. O. Smith,,53.82,367245.0805855174,-88576.92740774313,19765130.23711255,
Equities,ADM,ADM,,94.97,32402.67737516812,1320.0788794762193,3077282.2703197165,
Equities,TMO,Thermo Fisher Scientific,,513.03,251251.6009325689,165936.29179348235,128899608.82643582,
